,best,strategy,acq_func,performance,params,xratio,delay,week
0,1,BBvolumeStrategy,ucb,1.484350067,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 10.878586455746081}",21.10947542,20.97200465,17
1,1,BBvolumeStrategy,ei,1.166962748,"{'bb_mult_factor': 1.0, 'bb_periods': 14.507954285489037, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 1.0}",21.00573632,29.20261312,17
2,1,BBvolumeStrategy,poi,1.45560639,"{'bb_mult_factor': 1.7087202651237008, 'bb_periods': 9.47241412541062, 'vol_mult_factor_down': 2.1037231768614357, 'vol_mult_factor_up': 2.2281772639489272, 'vol_periods': 2.9886278232027044}",26.66699232,9.007990599,17
0,1,BBvolumeStrategy,ucb,1.518587955,"{'bb_mult_factor': 5.0, 'bb_periods': 4.580100567059159, 'vol_mult_factor_down': 1.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 11.900728585955283}",14.47472186,14.58795929,19
1,1,BBvolumeStrategy,ei,1.501981655,"{'bb_mult_factor': 1.049519280831368, 'bb_periods': 10.808310097107965, 'vol_mult_factor_down': 4.903287845504424, 'vol_mult_factor_up': 4.57251697568685, 'vol_periods': 15.895406715915893}",20.40925867,36.1862247,19
2,1,BBvolumeStrategy,poi,1.569961824,"{'bb_mult_factor': 3.37911982923594, 'bb_periods': 2.4318053274770324, 'vol_mult_factor_down': 2.134696482544047, 'vol_mult_factor_up': 1.3573518453051134, 'vol_periods': 4.837369379047617}",18.99328149,9.609998226,19
0,1,BBvolumeStrategy,ucb,1.597203104,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",10.1094487,10.37996125,21
1,1,BBvolumeStrategy,ei,1.984152995,"{'bb_mult_factor': 1.0, 'bb_periods': 18.778261435543378, 'vol_mult_factor_down': 4.206197041474982, 'vol_mult_factor_up': 1.3229121282705567, 'vol_periods': 7.8160181793081955}",14.31182101,26.27299714,21
2,1,BBvolumeStrategy,poi,1.94300865,"{'bb_mult_factor': 3.1875302403485724, 'bb_periods': 17.53577248027427, 'vol_mult_factor_down': 2.0560353147638755, 'vol_mult_factor_up': 3.5125664074382743, 'vol_periods': 7.733938854342571}",12.29840664,10.39700031,21
0,1,BBvolumeStrategy,ucb,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,27.22304869,23
1,1,BBvolumeStrategy,ei,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,34.74083829,23
2,1,BBvolumeStrategy,poi,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,4.090998411,23
0,1,BBvolumeStrategy,ucb,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,24.28600001,25
1,1,BBvolumeStrategy,ei,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,52.53099966,25
2,1,BBvolumeStrategy,poi,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,4.576004505,25
0,1,BBvolumeStrategy,ucb,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,29.53700566,27
1,1,BBvolumeStrategy,ei,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,56.57999992,27
