,best,strategy,acq_func,performance,params,xratio,delay,week
2,1,ThreeStandardMovingAverage,poi,1.203065344,"{'ma_long': 96.22023933604163, 'ma_short_buy': 49.88591554014443, 'ma_short_sell': 44.908636214607185}",16.61464201,12.34313297,21
0,1,ThreeStandardMovingAverage,ucb,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,16.88818979,23
1,1,ThreeStandardMovingAverage,ei,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,39.80610991,23
2,1,ThreeStandardMovingAverage,poi,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,2.87145853,23
0,1,ThreeStandardMovingAverage,ucb,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,16.69856,25
1,1,ThreeStandardMovingAverage,ei,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,37.96224856,25
2,1,ThreeStandardMovingAverage,poi,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,2.79820013,25
0,1,ThreeStandardMovingAverage,ucb,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,17.59174776,27
1,1,ThreeStandardMovingAverage,ei,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,36.28219604,27
2,1,ThreeStandardMovingAverage,poi,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,2.795669317,27
0,1,ThreeStandardMovingAverage,ucb,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,16.92455506,29
1,1,ThreeStandardMovingAverage,ei,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,36.90666246,29
2,1,ThreeStandardMovingAverage,poi,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,2.804966927,29
0,1,ThreeStandardMovingAverage,ucb,1.132310322,"{'ma_long': 98.43094220654677, 'ma_short_buy': 49.909444261894315, 'ma_short_sell': 48.7055001804357}",33.68350872,11.13958526,31
1,1,ThreeStandardMovingAverage,ei,1.035093834,"{'ma_long': 70.57187647112244, 'ma_short_buy': 29.21176754986381, 'ma_short_sell': 49.98658665028993}",150.7623345,12.18329024,31
2,1,ThreeStandardMovingAverage,poi,1.132310322,"{'ma_long': 98.64497858595851, 'ma_short_buy': 49.987026013438, 'ma_short_sell': 46.02165356759953}",30.21826343,17.94432735,31
0,1,ThreeStandardMovingAverage,ucb,1.032208727,"{'ma_long': 69.33281348163695, 'ma_short_buy': 17.998618974837616, 'ma_short_sell': 5.141870468369389}",43.60075336,15.64208817,33
1,1,ThreeStandardMovingAverage,ei,1.186500354,"{'ma_long': 51.01250806755309, 'ma_short_buy': 6.59017245445571, 'ma_short_sell': 5.809018634237562}",23.23101162,11.71665382,33
2,1,ThreeStandardMovingAverage,poi,1.02236475,"{'ma_long': 58.27514117180114, 'ma_short_buy': 23.12368904948431, 'ma_short_sell': 18.219418961388897}",230.4742387,26.81735086,33
0,1,ThreeStandardMovingAverage,ucb,1.031035683,"{'ma_long': 59.67193587958514, 'ma_short_buy': 4.23231541643281, 'ma_short_sell': 6.923020994470385}",32.50747736,15.61514497,35
1,1,ThreeStandardMovingAverage,ei,1.089744321,"{'ma_long': 60.94008250013902, 'ma_short_buy': 41.49305240179247, 'ma_short_sell': 49.854830757780924}",41.15483628,24.69598532,35
2,1,ThreeStandardMovingAverage,poi,1.025045757,"{'ma_long': 99.70909660383724, 'ma_short_buy': 45.539208885245955, 'ma_short_sell': 47.74506590151813}",33.79058923,19.92327547,35
0,1,ThreeStandardMovingAverage,ucb,1.139314108,"{'ma_long': 51.030047715133506, 'ma_short_buy': 37.44277291221477, 'ma_short_sell': 32.87282038206226}",34.01925301,13.53699851,37
1,1,ThreeStandardMovingAverage,ei,1.062005973,"{'ma_long': 51.43145669220886, 'ma_short_buy': 48.8158081044026, 'ma_short_sell': 6.60853195827199}",33.95476044,15.52900648,37
2,1,ThreeStandardMovingAverage,poi,1.163309683,"{'ma_long': 51.035670656831044, 'ma_short_buy': 44.15268189267203, 'ma_short_sell': 45.44769182400236}",37.57382948,20.89995885,37
0,1,ThreeStandardMovingAverage,ucb,1.079425357,"{'ma_long': 99.74133142177351, 'ma_short_buy': 40.966880850259244, 'ma_short_sell': 29.86102834425427}",44.83008242,11.2599535,39
1,1,ThreeStandardMovingAverage,ei,1.169829459,"{'ma_long': 57.74004233402023, 'ma_short_buy': 2.023309684355358, 'ma_short_sell': 5.142265094628235}",24.08999835,17.33199382,39
2,1,ThreeStandardMovingAverage,poi,1.105867481,"{'ma_long': 59.81829188971031, 'ma_short_buy': 1.027728930834874, 'ma_short_sell': 37.37587874997873}",26.6934226,27.81500483,39
0,1,ThreeStandardMovingAverage,ucb,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,25.20899844,41
1,1,ThreeStandardMovingAverage,ei,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,44.2120955,41
2,1,ThreeStandardMovingAverage,poi,1,"{'ma_long': 77.89186169243891, 'ma_short_buy': 36.044278952248554, 'ma_short_sell': 32.12435192322397}",0,2.832000971,41
0,1,ThreeStandardMovingAverage,ucb,1.090448861,"{'ma_long': 66.21500796772057, 'ma_short_buy': 1.2762576740964375, 'ma_short_sell': 20.67868090289579}",200.6055143,10.5139997,43
1,1,ThreeStandardMovingAverage,ei,1.240013779,"{'ma_long': 51.33077551245197, 'ma_short_buy': 12.328440837730241, 'ma_short_sell': 9.023054655801676}",29.94487991,10.51799941,43
2,1,ThreeStandardMovingAverage,poi,1.088118078,"{'ma_long': 71.99877651443454, 'ma_short_buy': 26.42188694823787, 'ma_short_sell': 29.463900020993773}",69.07293952,21.7679522,43
0,1,ThreeStandardMovingAverage,ucb,1.08697433,"{'ma_long': 51.735922177182665, 'ma_short_buy': 49.28434442189062, 'ma_short_sell': 49.17041741046817}",29.56221444,15.68417835,45
1,1,ThreeStandardMovingAverage,ei,1.15083641,"{'ma_long': 52.730583071623066, 'ma_short_buy': 6.3618252080180895, 'ma_short_sell': 5.467369217652323}",28.1871734,17.35300756,45
2,1,ThreeStandardMovingAverage,poi,1.10600134,"{'ma_long': 99.53063538825266, 'ma_short_buy': 49.602242805061515, 'ma_short_sell': 49.34195340865821}",30.81457664,6.521997929,45
0,1,ThreeStandardMovingAverage,ucb,1.13732053,"{'ma_long': 74.4058767388769, 'ma_short_buy': 10.927052623901941, 'ma_short_sell': 14.320540356005257}",27.56529527,10.31600332,47
1,1,ThreeStandardMovingAverage,ei,1.044777071,"{'ma_long': 75.08865863212512, 'ma_short_buy': 49.77322921824442, 'ma_short_sell': 28.94911562912481}",31.27536839,14.07000065,47
2,1,ThreeStandardMovingAverage,poi,1.030409746,"{'ma_long': 70.27889664724471, 'ma_short_buy': 50.0, 'ma_short_sell': 24.72523971681556}",28.93682893,19.97400212,47
0,1,ThreeStandardMovingAverage,ucb,1.158844593,"{'ma_long': 60.79939351334364, 'ma_short_buy': 21.708154711289588, 'ma_short_sell': 22.542958279007465}",23.89507618,11.80400085,49
1,1,ThreeStandardMovingAverage,ei,1.091779181,"{'ma_long': 51.00924679244536, 'ma_short_buy': 24.86432341118577, 'ma_short_sell': 48.86301475006882}",30.68100105,12.09199858,49
2,1,ThreeStandardMovingAverage,poi,1.064338148,"{'ma_long': 51.089735846897646, 'ma_short_buy': 48.39594959194111, 'ma_short_sell': 41.411114697661745}",236.3187267,15.38200092,49
0,1,ThreeStandardMovingAverage,ucb,1.210346357,"{'ma_long': 51.585275343135876, 'ma_short_buy': 49.96218657199686, 'ma_short_sell': 38.91956416495259}",25.19719313,10.99500155,51
1,1,ThreeStandardMovingAverage,ei,1.165560699,"{'ma_long': 56.0350375780892, 'ma_short_buy': 4.977837355978855, 'ma_short_sell': 5.235694714452281}",25.13647974,26.00100327,51
2,1,ThreeStandardMovingAverage,poi,1.094704715,"{'ma_long': 51.39913808339363, 'ma_short_buy': 31.539182434626014, 'ma_short_sell': 46.53708571951961}",34.15285353,14.26721883,51
